iter	Logloss
0	0.6747833527
1	0.6561734011
2	0.6409672157
3	0.6291850145
4	0.6173510446
5	0.6041243707
6	0.5940636628
7	0.5832568008
8	0.5755804009
9	0.566739563
10	0.5593596498
11	0.5483001167
12	0.5422911092
13	0.5343974666
14	0.5288492895
15	0.5218717664
16	0.5164152569
17	0.5120548271
18	0.5072763298
19	0.5024961906
20	0.499300182
21	0.4954868328
22	0.4922865376
23	0.4884381342
24	0.4851186096
25	0.4810530669
26	0.4774821078
27	0.4737823668
28	0.4711673661
29	0.4683387174
30	0.4657406006
31	0.4631756188
32	0.459326194
33	0.4571479764
34	0.4555000434
35	0.4530919995
36	0.4508804101
37	0.4489580978
38	0.4470632089
39	0.4456409133
40	0.4433620019
41	0.4406125187
42	0.438518512
43	0.436695328
44	0.4356133378
45	0.4338433642
46	0.4318886336
47	0.4300209662
48	0.4271889672
49	0.4258704435
50	0.4241649352
51	0.4228111
52	0.4210020539
53	0.419728156
54	0.4183943978
55	0.4161184119
56	0.4147767173
57	0.4136412934
58	0.4122015549
59	0.4104101943
60	0.4089915141
61	0.4073979158
62	0.4063370184
63	0.4048301855
64	0.4034452111
65	0.4018446483
66	0.4008237043
67	0.3995337654
68	0.3979611953
69	0.3965157118
70	0.3951255239
71	0.3945960993
72	0.3938430567
73	0.3926152997
74	0.3913383434
75	0.3903253599
76	0.3892117272
77	0.3876181119
78	0.3865310686
79	0.3856687121
80	0.3847666943
81	0.3838385028
82	0.3830111409
83	0.3822190031
84	0.3813593468
85	0.3802546032
86	0.3784761887
87	0.3777737429
88	0.3770399285
89	0.3759903259
90	0.3751793027
91	0.3747007745
92	0.3738352454
93	0.3728159675
94	0.3715843158
95	0.3708068469
96	0.3702848258
97	0.369200586
98	0.3685190568
99	0.3677817954
100	0.3662222309
101	0.3649278685
102	0.3642736893
103	0.3632125225
104	0.3625757955
105	0.3617719157
106	0.3610970883
107	0.3604463548
108	0.359467624
109	0.3582384902
110	0.357262454
111	0.3561303233
112	0.3554495597
113	0.3540893417
114	0.3533154804
115	0.3523460491
116	0.3511243611
117	0.3504430901
118	0.3497108874
119	0.348821916
120	0.3474887574
121	0.3463049572
122	0.3455764355
123	0.3440225457
124	0.3433778039
125	0.3420633659
126	0.3416209318
127	0.3404117776
128	0.3398135199
129	0.3385908987
130	0.3375863459
131	0.3368737787
132	0.3358016355
133	0.3351546049
134	0.3342408839
135	0.3335281141
136	0.3328110017
137	0.33223752
138	0.33113492
139	0.3303766561
140	0.3299292447
141	0.3290795028
142	0.328039397
143	0.3271381291
144	0.3265032378
145	0.3258484126
146	0.3249232143
147	0.3244068296
148	0.3230269152
149	0.3219968559
150	0.320988508
151	0.3196120122
152	0.3188519772
153	0.3177714141
154	0.3171651599
155	0.3163125575
156	0.3150201371
157	0.3138925076
158	0.3126180092
159	0.3112568492
160	0.3107276391
161	0.3098174298
162	0.3091785946
163	0.3083305757
164	0.3077624296
165	0.3073577596
166	0.3065748355
167	0.3061965996
168	0.3053956797
169	0.3043925278
170	0.303722247
171	0.3027157921
172	0.3020667584
173	0.3014552178
174	0.3005143039
175	0.2999146986
176	0.2988391471
177	0.2974664586
178	0.2969303919
179	0.2958610885
180	0.2944236323
181	0.2933641333
182	0.2925425475
183	0.2917546747
184	0.2908591799
185	0.2901424459
186	0.2894826806
187	0.2882977921
188	0.2873145998
189	0.2866084183
190	0.2855889614
191	0.2846956232
192	0.2841847374
193	0.2833523331
194	0.282686428
195	0.2822904659
196	0.2813224708
197	0.2804638644
198	0.2796771377
199	0.2788388388
200	0.2779075701
201	0.277299336
202	0.2765778668
203	0.275916302
204	0.2751686123
205	0.2744659794
206	0.2735688868
207	0.2727805726
208	0.2719012425
209	0.2713995551
210	0.2707781321
211	0.2699400484
212	0.2689880233
213	0.2679687212
214	0.2669578243
215	0.2663650791
216	0.2654503896
217	0.2647744404
218	0.2641355774
219	0.2629824009
220	0.2624243164
221	0.261268491
222	0.2602245892
223	0.2595187704
224	0.2586383604
225	0.2577260326
226	0.2570605059
227	0.2563072973
228	0.2557934654
229	0.2549724254
230	0.2541510185
231	0.2535453336
232	0.2528252368
233	0.2518189009
234	0.25119759
235	0.2505209538
236	0.2492736628
237	0.2484695613
238	0.2478078135
239	0.2467294298
240	0.246032872
241	0.2453027749
242	0.2445456418
243	0.2441668718
244	0.2431589825
245	0.2424396944
246	0.2418173276
247	0.2412586101
248	0.2405662289
249	0.2399993014
250	0.2395666802
251	0.2387903586
252	0.2382654376
253	0.2375334886
254	0.2371528906
255	0.2362372988
256	0.2356048788
257	0.235011544
258	0.2342524275
259	0.2334735085
260	0.2328630895
261	0.2320918789
262	0.2313914187
263	0.2305604459
264	0.2299121312
265	0.2293555842
266	0.2285124213
267	0.2278380853
268	0.2275692543
269	0.2269620565
270	0.2262406019
271	0.2255862848
272	0.2246753706
273	0.2242253686
274	0.2237188538
275	0.2228824418
276	0.2223394303
277	0.2216255791
278	0.2208511237
279	0.2201455335
280	0.219781075
281	0.2197173557
282	0.2192931023
283	0.2188378583
284	0.2183300595
285	0.2178057307
286	0.217113191
287	0.2165200953
288	0.2159103018
289	0.2155622472
290	0.2149496822
291	0.2142099332
292	0.2136915795
293	0.2129035879
294	0.2124049629
295	0.2120175041
296	0.2114689281
297	0.2108419182
298	0.2103338936
299	0.210072354
